filepath,filename,class,label
data/raw/NEU-CLS/scratches/scratches_111.jpg,scratches_111.jpg,scratches,5
data/raw/NEU-CLS/scratches/scratches_284.jpg,scratches_284.jpg,scratches,5
data/raw/NEU-CLS/patches/patches_164.jpg,patches_164.jpg,patches,2
data/raw/NEU-CLS/crazing/crazing_169.jpg,crazing_169.jpg,crazing,0
data/raw/NEU-CLS/scratches/scratches_158.jpg,scratches_158.jpg,scratches,5
data/raw/NEU-CLS/crazing/crazing_105.jpg,crazing_105.jpg,crazing,0
data/raw/NEU-CLS/crazing/crazing_59.jpg,crazing_59.jpg,crazing,0
data/raw/NEU-CLS/crazing/crazing_47.jpg,crazing_47.jpg,crazing,0
data/raw/NEU-CLS/inclusion/inclusion_43.jpg,inclusion_43.jpg,inclusion,1
data/raw/NEU-CLS/pitted_surface/pitted_surface_188.jpg,pitted_surface_188.jpg,pitted_surface,3
data/raw/NEU-CLS/scratches/scratches_219.jpg,scratches_219.jpg,scratches,5
data/raw/NEU-CLS/patches/patches_56.jpg,patches_56.jpg,patches,2
data/raw/NEU-CLS/patches/patches_261.jpg,patches_261.jpg,patches,2
data/raw/NEU-CLS/pitted_surface/pitted_surface_209.jpg,pitted_surface_209.jpg,pitted_surface,3
data/raw/NEU-CLS/inclusion/inclusion_223.jpg,inclusion_223.jpg,inclusion,1
data/raw/NEU-CLS/pitted_surface/pitted_surface_27.jpg,pitted_surface_27.jpg,pitted_surface,3
data/raw/NEU-CLS/rolled-in_scale/rolled-in_scale_127.jpg,rolled-in_scale_127.jpg,rolled-in_scale,4
data/raw/NEU-CLS/crazing/crazing_28.jpg,crazing_28.jpg,crazing,0
data/raw/NEU-CLS/inclusion/inclusion_278.jpg,inclusion_278.jpg,inclusion,1
data/raw/NEU-CLS/patches/patches_131.jpg,patches_131.jpg,patches,2
data/raw/NEU-CLS/pitted_surface/pitted_surface_213.jpg,pitted_surface_213.jpg,pitted_surface,3
data/raw/NEU-CLS/rolled-in_scale/rolled-in_scale_192.jpg,rolled-in_scale_192.jpg,rolled-in_scale,4
data/raw/NEU-CLS/crazing/crazing_274.jpg,crazing_274.jpg,crazing,0
data/raw/NEU-CLS/patches/patches_255.jpg,patches_255.jpg,patches,2
data/raw/NEU-CLS/rolled-in_scale/rolled-in_scale_71.jpg,rolled-in_scale_71.jpg,rolled-in_scale,4
data/raw/NEU-CLS/patches/patches_83.jpg,patches_83.jpg,patches,2
data/raw/NEU-CLS/crazing/crazing_49.jpg,crazing_49.jpg,crazing,0
data/raw/NEU-CLS/inclusion/inclusion_54.jpg,inclusion_54.jpg,inclusion,1
